timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673546150774,1799,Homepage,200,OK,Thread Group 1-3,text,true,,119994,242,41,41,https://www.w3schools.com:443/,460,0,99
1673546150774,465,Homepage-0,301,Moved Permanently,Thread Group 1-3,text,true,,313,119,41,41,http://www.w3schools.com/,460,0,99
1673546151241,1332,Homepage-1,200,OK,Thread Group 1-3,text,true,,119681,123,41,41,https://www.w3schools.com:443/,846,0,754
1673546150774,1829,Homepage,200,OK,Thread Group 1-5,text,true,,119994,242,41,41,https://www.w3schools.com:443/,532,0,93
1673546150774,532,Homepage-0,301,Moved Permanently,Thread Group 1-5,text,true,,313,119,41,41,http://www.w3schools.com/,532,0,93
1673546151307,1296,Homepage-1,200,OK,Thread Group 1-5,text,true,,119681,123,41,41,https://www.w3schools.com:443/,780,0,677
1673546150920,1746,Homepage,200,OK,Thread Group 1-9,text,true,,119994,242,41,41,https://www.w3schools.com:443/,413,0,58
1673546150920,413,Homepage-0,301,Moved Permanently,Thread Group 1-9,text,true,,313,119,41,41,http://www.w3schools.com/,413,0,58
1673546151339,1327,Homepage-1,200,OK,Thread Group 1-9,text,true,,119681,123,41,41,https://www.w3schools.com:443/,757,0,678
1673546151568,1118,Homepage,200,OK,Thread Group 1-22,text,true,,119994,242,40,40,https://www.w3schools.com:443/,420,0,63
1673546151568,420,Homepage-0,301,Moved Permanently,Thread Group 1-22,text,true,,313,119,40,40,http://www.w3schools.com/,420,0,63
1673546151989,697,Homepage-1,200,OK,Thread Group 1-22,text,true,,119681,123,40,40,https://www.w3schools.com:443/,256,0,185
1673546150774,1919,Homepage,200,OK,Thread Group 1-1,text,true,,119994,242,39,39,https://www.w3schools.com:443/,528,0,93
1673546150774,528,Homepage-0,301,Moved Permanently,Thread Group 1-1,text,true,,313,119,39,39,http://www.w3schools.com/,528,0,93
1673546151303,1390,Homepage-1,200,OK,Thread Group 1-1,text,true,,119681,123,39,39,https://www.w3schools.com:443/,1014,0,695
1673546151065,1676,Homepage,200,OK,Thread Group 1-12,text,true,,119994,242,39,39,https://www.w3schools.com:443/,432,0,61
1673546151065,432,Homepage-0,301,Moved Permanently,Thread Group 1-12,text,true,,313,119,39,39,http://www.w3schools.com/,432,0,61
1673546151498,1243,Homepage-1,200,OK,Thread Group 1-12,text,true,,119681,123,39,39,https://www.w3schools.com:443/,874,0,527
1673546151365,1528,Homepage,200,OK,Thread Group 1-18,text,true,,119994,242,41,41,https://www.w3schools.com:443/,424,0,63
1673546151365,424,Homepage-0,301,Moved Permanently,Thread Group 1-18,text,true,,313,119,41,41,http://www.w3schools.com/,424,0,63
1673546151790,1103,Homepage-1,200,OK,Thread Group 1-18,text,true,,119681,123,41,41,https://www.w3schools.com:443/,640,0,340
1673546151521,1466,Homepage,200,OK,Thread Group 1-21,text,true,,119994,242,42,42,https://www.w3schools.com:443/,421,0,58
1673546151521,421,Homepage-0,301,Moved Permanently,Thread Group 1-21,text,true,,313,119,42,42,http://www.w3schools.com/,421,0,58
1673546151942,1045,Homepage-1,200,OK,Thread Group 1-21,text,true,,119681,123,42,42,https://www.w3schools.com:443/,417,0,162
1673546150774,2288,Homepage,200,OK,Thread Group 1-2,text,true,,119994,242,43,43,https://www.w3schools.com:443/,1533,0,1121
1673546150774,1533,Homepage-0,301,Moved Permanently,Thread Group 1-2,text,true,,313,119,43,43,http://www.w3schools.com/,1533,0,1121
1673546152308,754,Homepage-1,200,OK,Thread Group 1-2,text,true,,119681,123,43,43,https://www.w3schools.com:443/,395,0,170
1673546150967,2126,Homepage,200,OK,Thread Group 1-10,text,true,,119994,242,42,42,https://www.w3schools.com:443/,407,0,56
1673546150967,407,Homepage-0,301,Moved Permanently,Thread Group 1-10,text,true,,313,119,42,42,http://www.w3schools.com/,407,0,56
1673546151375,1718,Homepage-1,200,OK,Thread Group 1-10,text,true,,119681,123,42,42,https://www.w3schools.com:443/,1253,0,690
1673546151016,2272,Homepage,200,OK,Thread Group 1-11,text,true,,119994,242,45,45,https://www.w3schools.com:443/,416,0,62
1673546151016,416,Homepage-0,301,Moved Permanently,Thread Group 1-11,text,true,,313,119,45,45,http://www.w3schools.com/,416,0,62
1673546151433,1855,Homepage-1,200,OK,Thread Group 1-11,text,true,,119681,123,45,45,https://www.w3schools.com:443/,648,0,538
1673546150774,2586,Homepage,200,OK,Thread Group 1-6,text,true,,119994,242,46,46,https://www.w3schools.com:443/,460,0,100
1673546150774,465,Homepage-0,301,Moved Permanently,Thread Group 1-6,text,true,,313,119,46,46,http://www.w3schools.com/,460,0,100
1673546151241,2119,Homepage-1,200,OK,Thread Group 1-6,text,true,,119681,123,46,46,https://www.w3schools.com:443/,868,0,784
1673546151471,2013,Homepage,200,OK,Thread Group 1-20,text,true,,119994,242,47,47,https://www.w3schools.com:443/,423,0,60
1673546151471,423,Homepage-0,301,Moved Permanently,Thread Group 1-20,text,true,,313,119,47,47,http://www.w3schools.com/,423,0,60
1673546151895,1589,Homepage-1,200,OK,Thread Group 1-20,text,true,,119681,123,47,47,https://www.w3schools.com:443/,634,0,176
1673546152141,1439,Homepage,200,OK,Thread Group 1-28,text,true,,119994,242,48,48,https://www.w3schools.com:443/,449,0,83
1673546152141,449,Homepage-0,301,Moved Permanently,Thread Group 1-28,text,true,,313,119,48,48,http://www.w3schools.com/,449,0,83
1673546152591,989,Homepage-1,200,OK,Thread Group 1-28,text,true,,119681,123,48,48,https://www.w3schools.com:443/,472,0,201
1673546152461,1306,Homepage,200,OK,Thread Group 1-39,text,true,,119994,242,51,51,https://www.w3schools.com:443/,457,0,81
1673546152461,457,Homepage-0,301,Moved Permanently,Thread Group 1-39,text,true,,313,119,51,51,http://www.w3schools.com/,457,0,81
1673546152919,848,Homepage-1,200,OK,Thread Group 1-39,text,true,,119681,123,51,51,https://www.w3schools.com:443/,411,0,168
1673546151116,2701,Homepage,200,OK,Thread Group 1-13,text,true,,119994,242,51,51,https://www.w3schools.com:443/,617,0,51
1673546151116,617,Homepage-0,301,Moved Permanently,Thread Group 1-13,text,true,,313,119,51,51,http://www.w3schools.com/,617,0,51
1673546151734,2083,Homepage-1,200,OK,Thread Group 1-13,text,true,,119681,123,51,51,https://www.w3schools.com:443/,370,0,279
1673546151833,2113,Homepage,200,OK,Thread Group 1-26,text,true,,119994,242,53,53,https://www.w3schools.com:443/,469,0,86
1673546151833,469,Homepage-0,301,Moved Permanently,Thread Group 1-26,text,true,,313,119,53,53,http://www.w3schools.com/,469,0,86
1673546152303,1643,Homepage-1,200,OK,Thread Group 1-26,text,true,,119681,123,53,53,https://www.w3schools.com:443/,861,0,646
1673546152153,1989,Homepage,200,OK,Thread Group 1-33,text,true,,119994,242,56,56,https://www.w3schools.com:443/,450,0,80
1673546152153,450,Homepage-0,301,Moved Permanently,Thread Group 1-33,text,true,,313,119,56,56,http://www.w3schools.com/,450,0,80
1673546152604,1538,Homepage-1,200,OK,Thread Group 1-33,text,true,,119681,123,56,56,https://www.w3schools.com:443/,514,0,197
1673546152552,1591,Homepage,200,OK,Thread Group 1-41,text,true,,119994,242,56,56,https://www.w3schools.com:443/,465,0,88
1673546152552,465,Homepage-0,301,Moved Permanently,Thread Group 1-41,text,true,,313,119,56,56,http://www.w3schools.com/,465,0,88
1673546153018,1125,Homepage-1,200,OK,Thread Group 1-41,text,true,,119681,123,56,56,https://www.w3schools.com:443/,473,0,172
1673546152411,1823,Homepage,200,OK,Thread Group 1-38,text,true,,119994,242,56,56,https://www.w3schools.com:443/,452,0,79
1673546152411,452,Homepage-0,301,Moved Permanently,Thread Group 1-38,text,true,,313,119,56,56,http://www.w3schools.com/,452,0,79
1673546152864,1370,Homepage-1,200,OK,Thread Group 1-38,text,true,,119681,123,56,56,https://www.w3schools.com:443/,270,0,179
1673546151165,3072,Homepage,200,OK,Thread Group 1-14,text,true,,119994,242,55,55,https://www.w3schools.com:443/,415,0,58
1673546151165,415,Homepage-0,301,Moved Permanently,Thread Group 1-14,text,true,,313,119,55,55,http://www.w3schools.com/,415,0,58
1673546151581,2656,Homepage-1,200,OK,Thread Group 1-14,text,true,,119681,123,55,55,https://www.w3schools.com:443/,497,0,392
1673546152749,1566,Homepage,200,OK,Thread Group 1-45,text,true,,119994,242,55,55,https://www.w3schools.com:443/,467,0,86
1673546152749,467,Homepage-0,301,Moved Permanently,Thread Group 1-45,text,true,,313,119,55,55,http://www.w3schools.com/,467,0,86
1673546153217,1098,Homepage-1,200,OK,Thread Group 1-45,text,true,,119681,123,55,55,https://www.w3schools.com:443/,252,0,168
1673546152656,1668,Homepage,200,OK,Thread Group 1-43,text,true,,119994,242,54,54,https://www.w3schools.com:443/,450,0,79
1673546152656,450,Homepage-0,301,Moved Permanently,Thread Group 1-43,text,true,,313,119,54,54,http://www.w3schools.com/,450,0,79
1673546153107,1217,Homepage-1,200,OK,Thread Group 1-43,text,true,,119681,123,54,54,https://www.w3schools.com:443/,527,0,169
1673546152149,2191,Homepage,200,OK,Thread Group 1-31,text,true,,119994,242,54,54,https://www.w3schools.com:443/,442,0,80
1673546152149,442,Homepage-0,301,Moved Permanently,Thread Group 1-31,text,true,,313,119,54,54,http://www.w3schools.com/,442,0,80
1673546152592,1748,Homepage-1,200,OK,Thread Group 1-31,text,true,,119681,123,54,54,https://www.w3schools.com:443/,559,0,181
1673546151661,2680,Homepage,200,OK,Thread Group 1-24,text,true,,119994,242,54,54,https://www.w3schools.com:443/,539,0,66
